# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_lambda         13:(.)rho_ur             14:(.)rho_crit           15:gr.fac. D             16:gr.fac. f          
       6.399026144483e+13       1.845899520404e-25       7.243215804920e-09       8.834618945564e+21       1.294251882442e+04       2.022576331491e-10       8.281951633295e+17       4.181820958963e-09       4.613543397580e+43       4.156109366837e+32       4.761221052979e+33       3.236176255929e-08       3.191505793234e+43       7.805049191331e+43       3.831898750920e-06       2.239946274319e+00 
       6.354544334144e+13       1.871832562765e-25       7.294147508219e-09       8.712220953392e+21       1.294251882442e+04       2.036734365812e-10       8.224380966529e+17       4.211093705675e-09       4.486593553207e+43       4.070038859061e+32       4.662619048678e+33       3.236176255929e-08       3.103685840358e+43       7.590279394071e+43       3.891772168903e-06       2.205485562406e+00 
       6.310371732019e+13       1.898129938440e-25       7.345079211518e-09       8.591518707078e+21       1.294251882442e+04       2.050991506372e-10       8.167210493078e+17       4.240571361615e-09       4.363136959379e+43       3.985750819371e+32       4.566059032167e+33       3.236176255929e-08       3.018282409532e+43       7.381419369407e+43       3.951645586886e-06       2.172069114491e+00 
       6.266506188699e+13       1.924796765944e-25       7.396010914817e-09       8.472488713149e+21       1.294251882442e+04       2.065348446917e-10       8.110437431060e+17       4.270255361146e-09       4.243077493099e+43       3.903208333933e+32       4.471498715114e+33       3.236176255929e-08       2.935229005858e+43       7.178306499443e+43       4.011519004870e-06       2.139650172484e+00 
       6.222945569711e+13       1.951838235709e-25       7.448761607520e-09       8.355107803618e+21       1.294251882442e+04       2.079805886045e-10       8.054059017935e+17       4.300147148673e-09       4.126321676367e+43       3.822375253375e+32       4.378896684956e+33       3.236176255929e-08       2.854460964164e+43       6.980782641007e+43       4.071392422853e-06       2.108184728771e+00 
       6.179687755423e+13       1.979259611082e-25       7.499693310820e-09       8.239353131476e+21       1.294251882442e+04       2.094364527248e-10       7.998072510362e+17       4.330248178714e-09       4.012778603396e+43       3.743216176958e+32       4.288212386756e+33       3.236176255929e-08       2.775915398654e+43       6.788694002516e+43       4.131265840836e-06       2.077631326905e+00 
       6.136730640936e+13       2.007066229358e-25       7.552444003522e-09       8.125202166244e+21       1.294251882442e+04       2.109025078938e-10       7.942475184074e+17       4.360559915964e-09       3.902359869831e+43       3.665696437069e+32       4.199406105448e+33       3.236176255929e-08       2.699531153946e+43       6.601891024234e+43       4.191139258819e-06       2.047950879378e+00 
       6.094072135984e+13       2.035263502814e-25       7.605194696225e-09       8.012632689590e+21       1.294251882442e+04       2.123788254491e-10       7.887264333737e+17       4.391083835376e-09       3.794979503924e+43       3.589782084043e+32       4.112438948439e+33       3.236176255929e-08       2.625248757458e+43       6.420228261829e+43       4.251012676802e-06       2.019106500796e+00 
       6.051710164830e+13       2.063856919765e-25       7.657945388928e-09       7.901622791001e+21       1.294251882442e+04       2.138654772272e-10       7.832437272827e+17       4.421821422223e-09       3.690553899588e+43       3.515439871289e+32       4.027272828578e+33       3.236176255929e-08       2.553010373101e+43       6.243564273127e+43       4.310886094785e-06       1.991063354952e+00 
       6.009642666167e+13       2.092852045630e-25       7.712515071034e-09       7.792150863521e+21       1.294251882442e+04       2.153625355678e-10       7.777991333493e+17       4.452774172178e-09       3.589001751309e+43       3.442637240734e+32       3.943870447478e+33       3.236176255929e-08       2.482759756250e+43       6.071761507988e+43       4.370759512768e-06       1.963788514473e+00 
       5.967867593016e+13       2.122254524019e-25       7.767084753141e-09       7.684195599545e+21       1.294251882442e+04       2.168700733168e-10       7.723923866428e+17       4.483943591383e-09       3.490243990837e+43       3.371342308565e+32       3.862195279176e+33       3.236176255929e-08       2.414442209950e+43       5.904686201207e+43       4.430632930752e-06       1.937250831845e+00 
